MemberID,LastName,FirstName,Honorific,Gender,BirthDate,MaritalStatus,Address,City,State,Zip,Phone,Email,MemberType,MembershipDate,AttendanceBeginDate,AttendanceLastDate
9821,Floyd,Joanna,Miss,F,12/22/1951,Separated,6817 Branch Way,Woodway,TX,76712,2548454609,joanna3@saturn.com,Contact,3/17/1990,10/11/1988,2/10/2018
3179,Blair,Kasey,Mrs,F,9/14/1926,Single,7409 Quail Place,Waco,TX,76710,5123879361,kasey2@earth.edu,Contact,1/7/1962,8/18/1960,3/28/2018
9016,Dominguez,Gaige,Mr,M,4/20/1939,Married,8001 Stony Ridge,Bruceville,TX,76630,2548625180,gdominguez@uranus.edu,Minister,5/1/1993,10/21/1991,1/1/2018
2124,Jones,Bea,Miss,F,3/29/1986,Married,522 Log Knoll,Hewitt,TX,76643,2546748270,,Archived,11/4/2014,5/25/2013,3/23/2015
2024,Head,Travis,Mr,M,5/20/1951,Unknown,3235 Rustic Falls,North Bellmore,NY,11710,2545227642,,Visitor,7/19/1988,3/6/1987,2/3/2018
1142,Franks,Jenny,Miss,F,3/26/1938,Separated,8867 Crystal Corner,Waco,TX,76799,5124975540,jfranks@jupiter.edu,Archived,1/9/2002,8/6/2001,1/20/2018
2381,Wall,Jaxson,Dr,M,8/31/1974,Divorced,3773 Hazy Isle,Elm Mott,TX,76640,2549172457,j-wall@neptune.edu,Attender,8/12/2004,11/18/2003,12/22/2017
3364,Thomas,Anne,Mrs,F,10/2/1932,Divorced,8182 Embers Dale,Waco,TX,76701,5125674779,t-thomas@earth.gov,Visitor,12/12/1960,3/10/1960,1/4/2018
3860,George,Raelyn,Miss,F,1/12/1927,Widowed,364 Bluff Chase,Waco,TX,76703,5122728807,rgeorge@earth.com,Visitor,4/2/1976,9/6/1974,1/22/2018
8463,Parker,Jeremy,Mr,M,6/11/1970,Married,6699 Nectar Bank,Indialantic,FL,32903,8208983648,parker3855@jupiter.gov,Contact,1/27/2015,9/23/2014,1/8/2017
9747,Thomas,Quinn,Mrs,F,10/24/1955,Married,6202 Berry Meadow,Bruceville,TX,76630,,quinn3@mercury.edu,Visitor,7/2/2006,3/18/2006,7/11/2017
4872,Rodgers,Camryn,Mrs,F,11/15/1991,Married,8708 Goose Vista,Waco,TX,76707,5129813167,,Dependent,12/21/2012,9/30/2011,6/28/2017
4494,Snyder,Brynlee,Miss,F,9/21/1988,Divorced,8288 Barn Point,Waco,TX,76798,8202593551,brynlee2@uranus.com,Minister,2/11/2010,1/20/2010,4/19/2016
8466,Stephenson,Rylan,Mrs,F,11/12/2006,Not applicable,8140 Dewy Arbor,Waco,TX,76707,5128698015,rstephenson@uranus.com,Dependent,,11/25/2017,1/28/2018
1865,Clements,Alessandra,Mrs,F,1/15/1974,Divorced,439 Timber Crest,Wisdom,MT,59761,5125977725,alessandra2@mars.edu,Member,10/19/1994,4/6/1994,3/19/2018
7976,Pittman,Jeremiah,Mr,M,12/3/1983,Married,2378 Green Pike,Palmyra,NY,14522,2544419057,jpittman@jupiter.com,Attender,4/18/2015,8/28/2014,1/27/2018
4679,Arnold,Allyson,Mrs,F,2/17/1956,Married,2458 Butterfly Farms,Waco,TX,76705,8206519551,,Attender,9/23/2000,3/18/1999,12/21/2017
4694,Peterson,Presley,Miss,F,6/20/1980,Separated,2866 Fallen Court,Waco,TX,76703,2544928756,p-peterson@earth.com,Archived,12/16/2014,6/21/2014,5/5/2015
6419,Bell,Mark,Mr,M,9/18/2005,Not applicable,939 Dale Valley,Ross,TX,76684,5126836724,mark1@uranus.com,Dependent,,6/19/2016,3/16/2018
9617,Cummings,Jayni,Mrs,F,6/7/1956,Separated,4428 Honey Jetty,Waco,TX,76705,5128976809,,Visitor,9/12/2003,5/6/2002,12/24/2017
